TOT CHKOUT,TITLE,AUTHOR,PUBLISHER,CREATED(ITEM),AGE,BIPOC,LGBTQ+,DISABILITY,NEURODIVERSITY
100,InvestiGators. Take the plunge / written and illustrated by John Patrick Green with color by Aaron Polk.,"Green, John Patrick, 1975-, author, artist.","New York : First Second, 2020.",2020,J,no,no,no,no
226,Cat Kid. Comic Club / written and illustrated by Dav Pilkey with color by Jose Garibaldi.,"Pilkey, Dav, 1966-, author, illustrator.","New York : Graphix, an imprint of Scholastic, 2020.",2020,J,no,no,no,no
71,When stars are scattered / Victoria Jamieson and Omar Mohamed   color by Iman Geddy.,"Jamieson, Victoria, author, illustrator.","New York : Dial Books for Young Readers, [2020]",2021,J,yes,no,yes,no
77,The witches : the graphic novel / Roald Dahl   adapted and illustrated by Penelope Bagieu.,"Bagieu, PÃ©nÃ©lope, adapter, illustrator.","New York : Graphix, an imprint of Scholastic, Inc., [2020]",2021,J,no,no,no ,no
26,"Haikyu!! 1, Hinata and Kageyama / [story and art by] Haruichi Furudate   [translation by Adrienne Beck   touch-up art & lettering, Erika Terriquez].","Furudate, Haruichi, 1983- author, artist.","San Francisco, CA : VIZ Media, LLC, [2016]",2021,YA,no,no,no,no
22,"Haikyu!! 2, The view from the top / [story and art by] Haruichi Furudate   [translation by Adrienne Beck   touch-up art & lettering, Erika Terriquez].","Furudate, Haruichi, 1983- author, illustrator.","San Francisco, CA : VIZ Media, LLC, [2016];""Â©2012""",2021,YA,no,no,no,no
78,Big Nate in your face! / by Lincoln Peirce.,"Peirce, Lincoln, author, artist.","Kansas City, Missouri : Andrews McMeel Publishing, 2021.",2021,J,no,no,no ,no
206,Dog man. Mothering heights / written and illustrated by Dav Pilkey as George Beard and Harold Hutchins with color by Jose Garibaldi.,"Pilkey, Dav, 1966-, author, artist.","New York, NY : Graphix, an imprint of Scholastic, 2021.",2021,J,no,no,no,yes
67,The way of the hive : a honey bee's story / Jay Hosler.,"Hosler, Jay (Jay S.), author, illustrator.","New York, NY : Harper Alley, an imprint of HarperCollinsPublishers, [2021]",2021,J,no,no,no,no
23,"Fangirl. 1 / based on the bestselling novel by Rainbow Rowell   adapted by Sam Maggs   illustrated by Gabi Nam   [lettering, Erika Terriquez].","Maggs, Sam, adaptor.","San Francisco : Viz Media, LLC, [2020]",2021,YA,no,no,no,no
22,Fruits basket another. 1 / Natsuki Takaya   translation: Alethea and Athena Nibley   lettering: Lys Blakeslee.,"Takaya, Natsuki, 1973- author, illustrator.","New York, NY : Yen Press, 2018.",2021,YA,no,no,no,no
65,FGTeeV presents : into the game! / by FGTeeV   illustrated by Miguel DÃ­az Rivas.,"FGTeeV, author.","[New York] : Harper, an imprint of HarperCollinsPublishers, [2020]",2021,J,no,no,no,no
124,New kid / Jerry Craft   with colors by Jim Callahan.,"Craft, Jerry, author, illustrator.","New York : Harper, an imprint of HarperCollinsPublishers, [2019]",2021,J,yes,no,no,no
74,Heartstopper. Volume 3 / Alice Oseman.,"Oseman, Alice, author, artist.","New York, NY : Graphix, an imprint of Scholastic, 2021.",2021,YA,no,yes,no,no
72,Heartstopper. Volume 2 / Alice Oseman.,"Oseman, Alice, author, artist.","New York, NY : Graphix, an imprint of Scholastic, [2020];""Â©2019-2020""",2021,YA,no,yes,no,no
73,The girl from the sea / Molly Knox Ostertag   color by Maarta Laiho.,"Ostertag, Molly Knox, author.","New York, NY : Graphix, an imprint of Scholastic, 2021.;""Â©2021.""",2021,YA,yes,yes,no,no
97,"The baby-sitters club. 4, Claudia and mean Janine  / a graphic novel by Raina Telgemeier   with color by Braden Lamb.","Telgemeier, Raina, author, artist.","New York : Graphix, an imprint of Scholastic, 2016.",2021,J,yes,no,no,no
77,"The baby-sitters club. 3, Mary Anne saves the day / a graphic novel by Raina Telgemeier.;""Mary Anne saves the day""","Telgemeier, Raina. author, artist.","New York : Graphix, 2007.",2021,J,no,no,no ,no
106,"Wings of fire : the graphic novel. Book four, The dark secret / by Tui T. Sutherland   adapted by Barry Deutsch and Rachel Swirsky   art by Mike Holmes   color by Maarta Laiho.","Sutherland, Tui, 1978-, author.","New York : Graphix, an imprint of Scholastic, [2021]",2021,J,no,no,no,no
85,Monster friends / Kaeti Vandorn.,"Vandorn, Kaeti, author, artist.","New York : RH Graphic, [2021]",2021,J,no,no,no,no
63,Apple of my pie / Mika Song.,"Song, Mika, author, artist.","New York : RH Graphic, an imprint of Random House Children's Books, a division of Penguin Random House LLC, [2021]",2021,J,no,no,no,no
65,Virtual unicorn experience : another Phoebe and her unicorn adventure / Dana Simpson.,"Simpson, Dana, 1977- author, illustrator.","Kansas City, Missouri : Andrews McMeel Publishing, [2020]",2021,J,no,no,no,no
69,"HiLo. Book 7, Gina, the girl who broke the world / by Judd Winick color by Maarta Laiho.","Winick, Judd, author.","New York : Random House Children's Books, [2021];""Â©2021.""",2021,J,no,no,no,no
74,Unicorn famous:  another Phoebe and her unicorn adventure / Dana Simpson.,"Simpson, Dana, 1977- author, illustrator.","Kansas City, Missouri : Andrews McMeel Pub., [2021]",2021,J,no,no,no,no
102,"Baby-sitters little sister. 3, Karen's worst day / by Katy Farina with color by Braden Lamb.","Farina, Katy, author.","New York : Graphix, an imprint of Scholastic, 2021.",2021,J,no,no,no,no
99,InvestiGators. Off the hook / written and illustrated by John Patrick Green with color by Aaron Polk.,"Green, John Patrick, 1975-, author, artist.","New York, NY : First Second, 2021.",2021,J,no,no,no,no
22,Spy x family. Vol. 2 / story and art by Tatsuya Endo translation Casey Loe touch-up art & lettering Rina Mapa.,"EndÅ, Tatsuya, 1980- author, illustrator.","San Francisco, CA : VIZ Media, LLC, [2020]",2021,YA,no,no,no,no
99,Katie the Catsitter. [1] / Colleen AF Venable illustrated by Stephanie Yue with colors by Braden Lamb.,"Venable, Colleen A. F., author.","New York, NY : Random House Children's Books, a division of Penguin Random House LLC, [2021]",2021,J,no,no,no,no
70,Big Nate : aloha! / by Lincoln Peirce.,"Peirce, Lincoln, author, illustrator.","Kansas City, MO : Andrews McMeel Publishing, [2021]",2021,J,no,no,no,no
71,Cat Ninja. 1 / Matthew Cody   illustrated by Yehudi Mercado.,"Cody, Matthew, author.","Kansas City, Missouri : Andrews McMeel Publishing,  [2020]",2021,J,no,no,no,no
123,"Baby-sitters little sister. 2, Karen's roller skates / by Katy Farina with color by Braden Lamb.","Farina, Katy, author, artist.","New York, NY : Graphix, an imprint of Scholastic, 2020.",2021,J,no,no,no,no
81,"Baby-sitters little sister. 4, Karen's kittycat club / by Katy Farina with color by Braden Lamb.","Farina, Katy, author, artist.","New York, NY : Graphix, an imprint of Scholastic, 2021.",2021,J,no,no,no ,no
151,"The baby-sitter's club. 9, Claudia and the new girl / a graphic novel by Gabriela Epstein with color by Braden Lamb.","Epstein, Gabriela, author.","New York : Scholastic / Graphix, 2021.",2021,J,yes,no,no,no
68,"Cat Ninja. 2, Time heist / written by Matthew Cody   illustrated by Chad Thomas   colors by Warren Wucinich.","Cody, Matthew, author.","Kansas City, Missouri : Andrews McMeel Publishing, [2021]",2021,J,no,no,no,no
24,"Jujutsu kaisen. 1, Ryomen Sukuna / story and art by Gege Akutami   translation, Stefan Koza   touch-up art & lettering, Snir Aharon.","Akutami, Gege, 1992- author, artist.","San Francisco, CA : VIZ Media, LLC, [2019]",2021,YA,no,no,no,no
23,"Jujutsu kaisen. 2, Fearsome womb / story and art by Gege Akutami   translation Stefan Koza   touch-up & lettering Snir Aharon.","Akutami, Gege, 1992- author, artist.","San Francisco, CA : VIZ Media, LLC, [2020]",2021,YA,no,no,no,no
63,"Meg, Jo, Beth, and Amy : a graphic novel / story by Rey Terciero pencils by Bre Indigo inks by Gabrielle Rose Camacho, Johana Avalos Merino, and Joanne Kwan colors by Ryan Thompson lettering by A Larger World.","Terciero, Rey, author.","New York : Little, Brown and Company, 2019.",2021,J,no,no,no,no
66,Dog man. A tale of two kitties / written and illustrated by Dav Pilkey   with color by Jose Garibaldi.,"Pilkey, Dav, 1966-, author, illustrator.","New York : Graphix, an imprint of Scholastic  2021.;""Â©2017""",2021,J,no,no,no,yes
24,Huda F are you / Huda Fahmy.,"Fahmy, Huda, author, artist.","New York : Dial Books, 2021.",2022,YA,yes,no,no,no
29,Magical boy : a graphic novel. Volume 1 / by The Kao lettering by Dezi Sienty.,"Kao Studios, artist, author.","New York, NY : Graphix, an imprint of Scholastic Inc., [2021];""Â©2021.""",2022,YA,yes,yes,no,no
83,Allergic / Megan Wagner Lloyd and Michelle Mee Nutter.,"Lloyd, Megan Wagner, author.","New York, NY : Graphix, an imprint of Scholastic, 2021.;""Â©2021""",2022,J,yes,no,no,no
71,"Narwhal and Jelly. 6, Narwhal's school of awesomeness / Ben Clanton.","Clanton, Ben, 1988-, author, illustrator.","Toronto : Tundra Books, [2021]",2022,J,no,no,no,no
70,Heartstopper. Volume 4 / Alice Oseman.,"Oseman, Alice, author, artist.","New York, NY : Graphix, an imprint of Scholastic, 2021.",2022,YA,no,yes,no,no
20,Graceling : the graphic novel / Kristin Cashore   adapted and illustrated by Gareth Hinds.,"Hinds, Gareth, 1971-, adaptor, illustrator.","New York, NY : Etch, [2021]",2022,YA,no,no,no,no
99,"Narwhal and Jelly. 4, Narwhal's otter friend / Ben Clanton.","Clanton, Ben, 1988- author, illustrator.","Toronto : Tundra Books, [2019]",2022,J,no,no,no,no
128,"Cat Kid Comic Club. Perspectives / written, illustrated, and colored by Dav Pilkey with digital color by Jose Garibaldi.","Pilkey, Dav, 1966-, author, artist.","New York, NY : Graphix, an imprint of Scholastic, 2021.",2022,J,no,no,no,no
124,Big Nate : payback time! / by Lincoln Peirce.,"Peirce, Lincoln, author, artist.","Kansas City, MO : Andrews McMeel Publishing, [2019];""Â©2019""",2022,J,no,no,no,no
78,"Wings of fire : the graphic novel. Book five, The brightest night / by Tui T. Sutherland adapted by Barry Deutsch and Rachel Swirsky art by Mike Holmes color by Maarta Laiho.","Deutsch, Barry, adapter.","New York : Scholastic, 2021.",2022,J,no,no,no ,no
32,Cheer up! : love and pompoms / written by Crystal Frasier   art by Val Wise   lettered by Oscar O. Jupiter.,"Frasier, Crystal, author.","Portland, Ore. : Oni-Lion Forge Publishing, LLC, 2021.",2022,YA,yes,yes,no,no
73,Housecat trouble. 1 / Mason Dickerson.,"Dickerson, Mason, author, artist.","New York : Random House Graphic, [2022];""Â©2022""",2022,J,no,no,no,no
64,Big Nate : beware of low-flying corn muffins / Lincoln Peirce.,"Peirce, Lincoln, author.","Kansas City : Andrews McMeel Publishing, [2022]",2022,J,no,no,no,no
64,"City of dragons. Vol. 1, The awakening storm / Jaimal Yogis & Vivian Truong.","Yogis, Jaimal, author.","New York, NY : Graphix, an imprint of Scholastic, 2021.",2022,J,yes,no,no,no
25,Squire / written by Nadia Shammas illustrated by Sara Alfageeh.,"Shammas, Nadia, author.","New York : Quill Tree Books, [2022]",2022,YA,yes,no,no,no
27,"My hero academia. 2, Rage, you damned nerd / story & art Kohei Horikoshi   translation & English adaptation, Caleb Cook   touch-up art & lettering, John Hunt   designer, Shawn Carrico   editor, Mike Montesa.","Horikoshi, KÅhei, 1986- author, illustrator.","San Francisco, CA : Viz Media, LLC, 2015.;""Â©2015.""",2022,YA,no,no,no,no
23,"My hero academia. 1, Izuku Midoriya : Origin / story & art Kohei Horikoshi   translation & English adaptation Caleb Cook   touch-up art and lettering John Hunt   designer Shawn Carrico   editor Mike Montesa.","Horikoshi, KÅhei, 1986-, author, illustrator.","San Francisco, CA : Viz Media LLC, [2015]",2022,YA,no,no,no,no
43,"Demon slayer. Volume 1, Cruelty / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author.","San Francisco, CA : Viz Media, [2018];""Â©2016.""",2022,YA,yes,no,no,no
41,"Demon slayer. Volume 2, It was you / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author.","San Francisco, CA : VIZ Media, [2018];""Â©2016.""",2022,YA,no,no,no,no
34,"Demon slayer. Volume 12, The upper ranks gather / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, illustrator.","San Francisco, CA : VIZ Media, LLC, [2020]",2022,YA,no,no,no,no
30,"Demon slayer. Volume 5, To hell / story and art by Koyoharu Gotoge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author.","San Francisco, CA : VIZ Media LLC, [2019];""Â©2016.""",2022,YA,no,no,no,no
29,"Demon slayer. Volume 3, Believe in yourself / Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author.","San Francisco, CA : VIZ Media, LLC, [2018];""Â©2016.""",2022,YA,no,no,no,no
28,"Demon slayer. Volume 11, A close fight / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, 2020.",2022,YA,no,no,no,no
28,"Demon slayer. Volume 7, Trading blows at close quarters / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media LLC, [2019]",2022,YA,no,no,no,no
26,"Demon slayer. Volume 6, The demon slayer corps gathers / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, illustrator.","San Francisco : Viz Media, [2019];""Â©2016""",2022,YA,no,no,no,no
26,"Demon slayer. Volume 8, The strength of the Hashira / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, illustrator.","San Francisco, CA : VIZ Media, LLC, [2019]",2022,YA,no,no,no,no
26,"Demon slayer. Volume 9, Operation : entertainment district / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media LLC, [2019]",2022,YA,no,no,no,no
22,"Demon slayer. Volume 10, Human and demon / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media LLC, [2020]",2022,YA,no,no,no,no
22,"Demon slayer. Volume 4, Robust Blade / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, [2019];""Â©2016""",2022,YA,no,no,no,no
146,"Cat Kid Comic Club. On purpose / words, illustrations, and artwork by Dav Pilkey with digital color by Jose Garibaldi.","Pilkey, Dav, 1966-, author, artist.","New York, NY : Graphix, an imprint of Scholastic, 2022.",2022,J,no,no,no,no
40,"Demon slayer. Volume 13, Transitions / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, [2020]",2022,YA,no,no,no,no
39,"Demon slayer. Volume 17, Successors / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, Evan Waldinger.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, [2020]",2022,YA,no,no,no,no
38,"Demon slayer. Volume 18, Assaulted by memories / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, [2020]",2022,YA,no,no,no,no
37,"Demon slayer. Volume 19, Flapping butterfly wings / story and art by Koyoharu Gotouge   translation, John Werry   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, [2020]",2022,YA,no,no,no,no
35,"Demon slayer. Volume 15, Daybreak and first light / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, Evan Waldinger.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, 2020.",2022,YA,no,no,no,no
35,"Demon slayer. Volume 21, Ancient memories / story and art by Koyoharu Gotouge   translation, John Werry   touch-up art & lettering, Evan Waldinger.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, 2021.",2022,YA,no,no,no,no
35,"Demon slayer. Volume 22, The wheel of fate / Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, [2021]",2022,YA,no,no,no,no
35,"Demon slayer. Volume 23, Life shining across the years / Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, [2021]",2022,YA,no,no,no,no
33,"Demon slayer. Volume 20, The path of opening a steadfast heart / story and art by Koyoharu Gotouge   translation, John Werry   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, [2021]",2022,YA,no,no,no,no
32,"Demon slayer. Volume 16, Undying / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, [2020]",2022,YA,no,no,no,no
31,"Demon slayer. Volume 14, The mu of Muichiro / story and art by Koyoharu Gotouge   translation, John Werry   English adaptation, Stan!   touch-up art & lettering, John Hunt.","GotÅge, Koyoharu, 1988- author, artist.","San Francisco, CA : VIZ Media, LLC, [2020]",2022,YA,no,no,no,no
27,"My hero academia. 3, All Might / story & art Kohei Horikoshi   translation & English adaptation, Caleb Cook.","Horikoshi, KÅhei, 1986- author, artist.","San Francisco, CA : Viz Media, [2016];""Â©2014""",2022,YA,no,no,no,no
22,"My hero academia. 4, The boy born with everything / story & art Kohei Horikoshi   Translation & English adaptation, Caleb Cook.","Horikoshi, KÅhei, 1986- author, artist.","San Francisco, CA : Viz Media, LLC, [2016];""Â©2014.""",2022,YA,no,no,no,no
20,Fly by night / Tara O'Connor   colors by Triona Tree Farrell.,"O'Connor, Tara, author, artist.","New York : Random House Graphic, [2021]",2022,YA,no,no,no,no
25,Kiss number 8 / written by Colleen AF Venable   artwork by Ellen T. Crenshaw.,"Venable, Colleen A. F., author.","New York : First Second Books, 2019.",2022,YA,no,yes,no,no
71,Brave / Svetlana Chmakova.,"Chmakova, Svetlana, 1979-, author, artist.","New York : JY, an imprint of Yen Press, 2017.",2022,J,no,no,no,no
32,Gender queer : a memoir / by Maia Kobabe   colors by Phoebe Kobabe.,"Kobabe, Maia, author, illustrator.","Portland, OR : Oni Press, [2022];""Â©2022""",2022,YA,no,yes,no,no
21,"Yona of the dawn. 2 / story & art by Mizuho Kusanagi   English adaptation, Ysabet Reinhardt MacFarlane   translation, JN Productions   touch-up art & lettering, Lys Blakeslee.","Kusanagi, Mizuho, 1979- author.","San Francisco, CA : Viz Media, 2016.;""Â©2010""",2022,YA,no,no,no,no
23,"Yona of the dawn. 1 / story & art by Mizuho Kusanagi   English adaptation, Ysabet Reinhardt MacFarlane   translation JN Productions.","Kusanagi, Mizuho, 1979- author, artist.","San Francisco, CA : VIZ Media, LLC, [2016?]",2022,YA,no,no,no,no
110,"Cat Kid Comic Club. Collaborations / words, illustrations, and artwork by Dav Pilkey with digital color by Jose Garibaldi.","Pilkey, Dav, 1966- author, artist.","New York, NY : Graphix, an imprint of Scholastic, 2022.",2023,J,no,no,no,no
69,"The Baby-sitters Club. 13, Mary Anne's bad luck mystery / a graphic novel by Cynthia Yuan Cheng   with color by Braden Lamb and Hank Jones.","Cheng, Cynthia Yuan, author, artist.","New York : Graphix, 2023.;""Â©2023""",2023,J,no,no,no,no
68,The bad guys in Cut to the chase / Aaron Blabey.,"Blabey, Aaron, author, illustrator.","[New York] : Scholastic Inc., [2021]",2023,J,no,no,no,no
66,Dog Man. Twenty thousand fleas under the sea / written and illustrated by Dav Pilkey as George Beard and Harold Hutchins with color by Jose Garibaldi & Wes Dzioba.,"Pilkey, Dav, 1966- author, illustrator.","New York : Graphix, an imprint of Scholastic, 2023.",2023,J,no,no,no,no
22,The princess and the grilled cheese sandwich / Deya Muniz.,"Muniz, Deya, author, illustrator.","New York : Little, Brown and Company, 2023.;""Â©2023""",2023,YA,no,yes,no,no
81,"Narwhal and Jelly. 3, Peanut butter and Jelly / Ben Clanton.","Clanton, Ben, 1988- author, illustrator.","Toronto : Tundra Books, 2019.;""Â©2018""",2023,J,no,no,no ,no
74,The Bad Guys in superbad / Aaron Blabey.,"Blabey, Aaron, author, illustrator.","[New York City, NY] : Scholastic Press, an imprint of Scholastic Inc., [2019];""Â©2018""",2023,J,no,no,no,no
27,Five nights at Freddy's. The silver eyes : the graphic novel / by Scott Cawthon and Kira Breed-Wrisley   adapted and illustrated by Claudia SchrÃ¶der   colors by Laurie Smith.,"SchrÃ¶der, Claudia, 1985-, adapter, artist.","New York, NY : Scholastic, Inc., [2020]",2023,YA,no,no,no,no
21,Five nights at Freddy's : the graphic novel. The twisted ones / by Scott Cawthon and Kira Breed-Wrisley   adapted by Christopher Hastings   illustrated by Claudia Aguirre   colors by Laurie Smith and Eva de la Cruz.,"Hastings, Chris, 1983- adapter.","New York, NY : Graphix Media, an imprint of Scholastic Inc., [2021]",2023,YA,no,no,no,no
81,The bad guys in The one?! / Aaron Blabey.,"Blabey, Aaron, author, illustrator.","[New York] : Scholastic Inc., [2020]",2023,J,no,no,no ,no